id,log_change,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012
181,-0.06187541,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
182,1.0192387,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,0.0188122,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
184,2.215573713,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,-0.12221764,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
186,-0.15264579,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
187,-0.18232156,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
188,0.93282003,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
189,0.27768653,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
190,-0.68542513,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
191,0.19349486,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1
192,0.33103251,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
193,0.39915594,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
194,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
195,0.29058483,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
196,0.90172817,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
197,0.18232156,0,,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
198,-0.18908161,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
199,0.8174449,0,,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,-0.22309092,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
201,-0.00400802,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
202,0.28768207,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
203,0.0037244,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0
204,-0.01327555,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
205,-0.03278983,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
206,0.14153956,0,,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
207,0.14513694,0,,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
208,0.57536414,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0
209,0.0004763,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
210,-0.14667831,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
211,-0.02762896,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
212,0.13580154,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
213,0.22591584,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
214,0.28517895,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
215,0.15860503,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0
216,0.00033339,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
217,0.24334626,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
218,-0.01684949,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
219,0.07796154,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
220,0.0915672,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
221,0.32455847,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
222,0.040822,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
223,1.01856958,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
224,0.11008865,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
225,0.17471696,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
226,0.33416219,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
227,-0.13485094,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
228,0.09694195,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
229,0.11372876,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
230,0.51088118,0,,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
231,-0.00644026,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
232,0.78194268,0,,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
233,0.44336519,0,,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
234,0.21612598,0,,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
235,0.45675841,0,,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0
236,0.67787971,0,,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0
237,-0.12221764,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
238,0.12633532,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
239,0,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
240,0.06899287,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
241,1.01535045,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242,-0.0582689,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
243,0.46166639,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
244,-0.0380274,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
245,1.13724695,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
246,-0.10008346,0,,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
247,0.00018184,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
248,0.822825,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
249,0.12921173,0,,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
250,-0.15748958,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
251,0.35086098,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
252,0.17520409,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
253,0.66903058,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0
254,-0.14944685,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
255,0.12568822,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
256,-0.06062462,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
257,0.673344553,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
258,0.97077892,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259,1.12943975,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
260,0.61533015,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
261,-0.09531018,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
262,0.00716849,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
263,0.09531018,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
264,-0.09531018,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
265,-0.12763335,0,,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
266,0.04621285,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
267,0.08914873,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
268,0.6150294,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,-0.2602831,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
270,0.02247285,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
271,0.03922071,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
272,0.14045183,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
273,0.52012802,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
274,0.040822,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
275,-0.22314356,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
276,0.06744128,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
277,0.54685966,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
278,-0.04445177,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
279,0,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
280,0.99595813,0,,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0
281,0.99633344,0,,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
282,0.14660348,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
283,0.59205106,0,,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0
284,0.3254224,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
285,-0.28864315,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
286,0.11560201,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
